Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,Filtered MR,Filtered MRR,Filtered Hits@1,Filtered Hits@3,Filtered Hits@10
0,/location/country/form_of_government,42,292,M-N,1.2738095238095237,0.956892558506557,0.9404761904761905,0.9642857142857143,1.0
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,147,339,1-N,984.5714285714286,0.395396174216757,0.36054421768707484,0.40476190476190477,0.47278911564625853
2,/media_common/netflix_genre/titles,295,352,1-N,640.1050847457627,0.26531687591035485,0.20677966101694914,0.2830508474576271,0.3949152542372881
3,/award/award_winner/awards_won./award/award_honor/award_winner,941,374,1-1,2083.2948990435707,0.06595376852848324,0.03506907545164718,0.06269925611052073,0.12858660998937302
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,266,344,M-1,199.22932330827066,0.39008646800105734,0.2650375939849624,0.5169172932330827,0.5789473684210527
5,/sports/sports_position/players./soccer/football_roster_position/team,258,353,1-N,189.90503875968992,0.37619358624598775,0.25,0.48643410852713176,0.5697674418604651
6,/government/political_district/representatives./government/government_position_held/legislative_sessions,127,332,M-N,10.909448818897637,0.3933240935558409,0.30708661417322836,0.37401574803149606,0.5826771653543307
7,/film/film/starring./film/performance/actor,1038,340,1-1,2644.999036608863,0.05801163013730205,0.04720616570327553,0.05684007707129094,0.07707129094412331
8,/soccer/football_team/current_roster./soccer/football_roster_position/position,249,395,M-1,259.5120481927711,0.4154454732994478,0.2991967871485944,0.5341365461847389,0.5923694779116466
9,/film/actor/film./film/performance/film,1019,356,1-1,2520.6545632973503,0.04808985566952512,0.037782139352306184,0.047105004906771344,0.061334641805691856
10,/award/award_nominated_work/award_nominations./award/award_nomination/award,1004,378,M-1,539.773406374502,0.09127606243726266,0.049800796812749,0.0846613545816733,0.17131474103585656
11,/award/award_category/nominees./award/award_nomination/nominated_for,1067,341,1-N,568.0965323336458,0.09038628790014351,0.04873477038425492,0.09044048734770384,0.16494845360824742
12,/organization/membership_organization/members./organization/organization_membership/member,80,345,M-N,14.3875,0.616710615158081,0.55,0.6375,0.7375
13,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,1799,371,1-1,2975.1375764313507,0.04147921992116931,0.02584769316286826,0.0405780989438577,0.07142857142857142
14,/olympics/olympic_sport/olympic_games_contested,81,329,M-N,4.098765432098766,0.6159805015281394,0.5185185185185185,0.6234567901234568,0.8827160493827161
15,/music/performance_role/regular_performances./music/group_membership/role,265,350,M-N,35.24716981132075,0.18890745055000738,0.12641509433962264,0.1660377358490566,0.3320754716981132
16,/award/award_category/winners./award/award_honor/ceremony,284,379,M-N,40.4137323943662,0.27384266383211375,0.18485915492957747,0.25704225352112675,0.4894366197183099
17,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,149,332,M-1,376.7751677852349,0.5419227548893666,0.5302013422818792,0.5503355704697986,0.5637583892617449
18,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,319,351,1-N,1101.757053291536,0.4603700548130143,0.4216300940438871,0.4890282131661442,0.512539184952978
